STRUCTURE_NUMBER_008,ADT_029,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060
17335,25,7,6.1,7,7,6
17336,100,17.1,5.4,7,7,7
17337,20,25.6,6.1,7,8,8
17338,50,34.4,8.1,8,5,8
17339,15,32.3,7.9,7,7,5
1734,8391,60,19.1,7,7,7
17341,125,64,8,7,7,8
17344,600,22.3,7.3,7,7,7
17348,150,7.6,7.7,N,N,N
17349,25,9.1,0,N,N,N
1735,2143,59.4,24,7,7,7
17350,110,44.2,6.7,8,8,7
17352,50,31.1,8.1,7,7,7
17355,100,30.8,6.9,8,7,7
17356,1500,7.3,7.9,6,6,6
17357,100,18.3,6.1,6,7,6
17359,30,12.2,6.6,6,6,6
1736,744,64,12.4,6,6,7
17361,110,71.9,4.6,6,7,6
17362,15,11.3,4.9,6,6,4
17363,45,21.9,6.8,7,7,6
17364,25,16.2,5.6,7,7,7
17365,30,13.7,5.5,8,8,6
17366,25,14.9,7.3,6,6,6
17367,20,12.5,3.7,4,6,4
17369,15,22.3,6.1,6,8,7
1737,467,66.1,8.7,8,7,6
17370,130,28.3,11.1,7,7,7
17372,50,9.4,6.6,7,7,7
17373,35,7.6,6,7,7,8
17374,20,21.3,6.2,7,8,8
17375,35,9.1,6.8,8,6,8
17376,5,7.6,3.7,6,5,5
17377,100,29,8,7,7,8
17378,100,30.8,6.9,8,7,8
1738,467,9.4,15.5,N,N,N
17380,25,19.5,6.2,6,6,6
17382,75,11,6.4,7,7,6
17383,50,39.9,8,7,7,7
17385,150,17.1,8.1,8,7,7
17386,1337,81.7,9.1,6,5,6
17387,30,7.6,3.5,6,6,6
17388,831,12.2,7.3,7,4,8
17389,10,14.9,8,N,N,N
1739,936,48.2,12.4,6,6,5
17390,528,7.6,8.5,N,N,N
17391,35,9.8,3.7,5,6,4
17393,20,29.9,8.1,8,7,8
17394,68,6.7,7.4,7,7,5
17395,5,7,4.3,6,3,5
17396,50,18.6,6.1,6,6,5
17398,35,11.9,5,6,6,6
17399,50,21,4.3,6,6,4
174,14148,77.4,12,6,7,6
1740,936,112.8,12.4,6,7,7
17401,40,33.2,7.5,7,6,6
17402,75,9.8,4.8,5,6,6
17403,20,13.7,4.9,7,5,4
17404,75,11,8,6,6,6
17407,35,9.1,4.5,4,5,5
17408,100,55.5,8.1,8,9,7
17409,45,12.2,5,8,7,7
1741,52,42.1,9.4,6,7,6
17413,35,76.2,7.6,7,7,7
17414,45,18.3,6.3,6,6,5
17415,45,9.1,4.9,7,7,7
17416,832,37.2,8.1,7,6,8
17419,100,9.4,6.8,6,4,6
1742,130,63.1,8.8,6,6,7
17421,1500,37.8,10,7,7,6
17422,1000,16.8,4.2,7,5,4
17423,25,39.6,3.7,8,4,5
17424,35,7.6,4.4,6,6,7
17425,1000,54.9,9.2,7,8,7
17426,60,11.9,6.2,5,5,4
17427,60,15.2,4.1,5,6,6
17428,50,21.6,4.9,7,7,7
1743,508,62.5,8.8,6,7,7
17430,20,10.4,5,6,6,7
17432,75,62.2,7.9,7,7,6
17434,300,6.1,0,N,N,N
17435,80,7.3,9.1,N,N,N
17436,5,30.2,4.4,5,7,6
17438,70,17.7,5,7,7,5
1744,320,106.1,8.7,6,7,6
17441,30,24.7,3.7,5,4,6
17443,20,43.3,7.4,6,6,6
17445,35,9.4,4.3,7,6,6
17446,25,14.6,5.5,7,6,6
17447,5,8.2,3.7,6,6,6
17448,15,23.2,7.5,7,7,7
17449,100,36.6,6.5,5,7,4
1745,199,59.7,8.7,6,7,7
17450,15,30.5,6.7,6,7,7
17455,55,29.9,7,7,7,6
17456,35,8.2,5.2,6,6,4
17457,30,25.6,5.8,5,4,6
17458,40,53.3,5.2,7,8,7
17459,50,37.2,8.1,7,6,6
1746,777,241.1,8.7,9,7,7
17460,282,13.4,7.9,N,N,N
17461,10,8.8,4.8,5,5,5
17462,100,24.4,4.9,7,7,7
17463,50,7.3,6.2,6,6,6
17464,350,31.7,6.1,6,6,6
17466,50,10.7,6.7,7,7,7
17467,50,12.2,5.4,4,5,4
17469,30,10.1,15,N,N,N
1747,1716,30.8,8.7,8,9,8
17470,100,11.6,6.7,8,8,5
17471,30,71.9,8.1,6,8,7
17472,35,14,5.4,8,7,8
17474,35,30.5,5.5,5,5,5
17477,30,9.7,6,7,7,7
17478,40,18.3,7.5,8,8,7
1748,1716,9.4,0,N,N,N
17480,30,8.2,5.6,7,7,6
17481,35,12.8,6.1,8,7,8
17482,30,9.1,6,8,8,7
17483,10,17.1,5.5,7,7,6
17484,45,9.1,5.1,6,6,6
17485,15,24.4,4.9,7,6,3
17486,35,12.2,6.1,8,8,5
17487,15,9.1,4.3,4,4,5
17488,90,64.9,7.9,7,7,7
17489,100,46.6,6.4,7,6,4
1749,18003,66.4,12.4,7,8,7
17490,35,17.1,5,6,6,7
17491,120,20.1,4.8,5,5,5
17493,25,7.6,9,N,N,N
17495,35,11,4.3,5,6,7
17496,25,8.5,6.6,N,N,N
17497,150,7.6,0,N,N,N
17498,60,8.2,6.1,7,7,8
17499,70,18.3,5,7,7,6
175,14613,77.4,12,7,7,7
1750,19066,66.4,12.4,7,8,7
17500,35,19.2,5,6,6,6
17502,75,8.2,6.1,7,7,8
17504,35,12.5,7.6,7,7,7
17506,100,16.5,6.7,7,7,7
17507,25,9.1,8.6,7,7,9
17509,50,9.1,4.3,6,6,7
1751,36095,7.1,0,N,N,N
17510,30,12.8,6.1,8,6,6
17511,35,45.1,8.1,7,7,7
17513,30,9.1,4.9,7,6,6
17514,35,7.9,8,N,N,N
17516,15,9.8,6.9,7,7,6
17517,35,16.2,7.5,7,8,8
17518,8060,13.4,10.9,6,5,6
17519,40,34.1,4.2,4,4,5
1752,15520,38.1,12.4,6,6,6
17520,25,17.7,5.5,7,7,7
17521,35,9.4,6,8,8,8
17522,100,37.8,8,7,7,8
17523,120,6.7,6,N,N,N
17524,50,39.9,8.2,8,8,8
17525,600,11.3,7.6,5,5,8
17526,100,29.6,8,7,8,6
17527,100,11.6,6.7,N,N,N
1753,17599,38.1,12.4,6,6,6
17535,20,13.1,3.6,6,5,5
17536,35,66.4,9.4,8,8,7
17538,100,6.4,5.8,N,N,N
1754,368,119.2,8.7,6,8,7
17541,1500,33.2,8.3,7,6,5
17542,510,10.4,8.4,9,8,6
17543,1000,9.4,10.2,N,6,7
17544,2000,7.3,9.8,N,6,6
17545,4190,20.7,11,3,6,6
17546,2590,21.3,11,5,5,6
17548,120,7.3,10.4,N,N,N
17549,6712,57.6,10.6,8,7,8
1755,7667,66.1,13.4,5,5,7
17550,250,10.7,10.9,N,N,N
17552,80,12.2,4.5,7,6,5
17553,50,14,5.2,8,8,7
17554,20,24.4,5.5,8,7,7
17555,100,25.6,7.5,7,7,7
17557,300,10.1,8.7,7,6,7
17558,25,9.1,5.4,7,6,7
17559,15,11.3,4.9,7,6,5
1756,36441,56.1,13.4,7,9,6
17561,15,49.4,4.9,7,7,8
17562,35,11.3,7.4,7,7,5
17563,40,14,6.3,8,8,8
17565,75,55.8,7.9,7,7,8
17566,40,23.5,7.5,7,6,7
1757,1422,7.7,0,N,N,N
17571,45,50.9,3.7,6,5,5
17572,90,44.5,8,7,7,8
17573,35,15.5,7.6,7,7,7
17574,65,46,8,7,7,8
17577,70,16.2,6.8,8,8,8
17578,225,27.7,5.5,6,7,4
17579,222,7.3,7.9,N,N,N
1758,722,1275.6,8.4,8,7,7
17580,222,7.3,7.9,N,N,N
17581,200,9.4,5.4,6,6,6
17582,200,8.2,5.7,6,6,7
17583,200,7.9,9.1,6,6,6
17584,200,8.5,7.3,N,N,N
17586,200,11,4.8,N,N,N
17587,96,14.9,8.1,8,8,8
17588,1796,34.4,8.1,8,7,9
17589,100,12.8,5.9,6,6,5
1759,374,180.7,8.7,8,8,7
17590,100,11.6,0,N,N,N
17593,25,14,6.4,6,6,7
17595,100,21.3,7.7,6,6,6
17596,125,6.4,6.2,N,N,N
17597,30,46.6,8.1,7,8,7
17598,40,9.8,7.9,7,7,6
17599,100,82.9,8.7,7,7,8
176,19768,34.4,12.3,8,8,5
1760,360,8.3,13.2,N,N,N
17601,10,16.5,5.6,7,7,6
17602,50,32.3,6.7,7,6,7
17603,5,28.7,3.7,6,4,6
17604,35,30.5,5.5,7,7,7
17605,100,29,4,7,5,6
17607,15,7.6,7.3,7,7,8
17608,91,24.4,7,7,7,4
1761,233,118.3,8.8,6,8,6
17610,63,12.8,7.3,7,7,8
17611,35,46.6,8.1,7,7,8
17613,20,7.3,4.5,8,6,7
17614,30,12.2,4.9,5,7,6
17615,30,12.2,6.3,7,7,7
17618,100,20.1,7.6,8,8,8
1762,13017,12.5,0,N,N,N
17620,1354,80.5,9.1,6,6,6
17621,75,15.5,6.7,8,8,8
17622,300,9.4,6.1,6,5,5
17623,120,9.4,4.3,5,4,6
17624,30,18.3,6.2,7,7,6
17625,100,83.2,7.9,7,7,8
17627,30,9.4,3.6,7,7,5
17628,45,14,10.1,N,N,N
17629,35,7.9,7.3,6,6,5
1763,1180,9.5,0,N,N,N
17631,100,45.4,5.5,6,8,7
17632,15,9.1,4.8,7,7,7
17633,50,12.2,7.5,7,8,8
17634,35,12.5,4.4,6,6,6
17636,35,12.2,7.3,7,7,7
17637,15,7.3,5.9,5,4,4
1764,449,178.9,9.3,8,6,7
17641,25,9.1,5.5,8,7,7
17642,15,30.5,7.4,7,7,8
17643,45,13.7,5,4,4,5
17646,100,18,4.3,6,6,7
17647,35,16.2,5,5,6,6
17648,30,66.8,4.9,8,7,6
1765,561,86.3,8.7,8,7,7
17650,35,47.2,8.1,8,8,8
17651,35,18.3,5.2,5,6,7
17653,15,10.7,6.2,7,7,7
17655,35,18.6,7.5,7,7,7
17656,35,25,8,7,7,8
17657,30,24.4,7.1,8,6,8
17659,40,6.4,7.3,N,N,N
1766,508,77.4,8.7,3,7,7
17660,25,18.6,7.4,7,7,6
17661,5,9.1,4.1,7,6,5
17664,250,44.5,7.3,7,9,9
17665,150,27.7,6.1,4,6,5
17666,100,13.1,6.1,5,3,5
17667,25,12.8,6.1,7,7,7
17668,40,10.7,5.8,6,7,7
1767,632,641.3,8.4,8,7,7
17670,20,9.1,4.9,5,6,7
17671,200,34.1,7.9,7,7,6
17672,30,7.6,7,N,N,N
17674,40,7,7,7,7,7
17675,400,74.1,8.1,7,6,7
17676,75,7.6,6.1,6,6,6
17677,35,13.4,5.5,8,7,7
17678,894,49.4,8.1,7,6,8
17679,894,8.8,8.5,N,N,N
1768,479,566.6,8.4,6,6,6
17680,1312,35.4,8.1,7,6,8
17686,20,12.5,6.2,8,8,8
17688,35,17.7,7.7,7,7,7
1769,1694,64.9,10,7,8,7
17691,20,7.3,3.7,4,6,7
17692,35,10.4,5.5,6,5,6
17693,119,7.6,4.4,6,6,7
17694,60,7.6,5.5,7,6,6
17697,10,18.3,4.3,6,5,3
17698,15,9.1,6.1,8,6,6
17699,15,12.2,6.3,7,6,7
177,3814,36.3,9.6,6,6,4
1770,5589,8.9,0,N,N,N
17700,100,23.8,8.2,7,8,7
17701,25,26.5,6,8,8,8
17702,100,13.1,4.3,7,7,5
17703,35,11,4.3,5,5,5
17705,30,12.2,4.2,6,5,5
17706,20,71,8,7,8,8
17708,100,7.3,4.5,6,6,6
17709,66,8.2,6.7,6,6,6
1771,662,52.1,9.4,7,7,7
17710,136,10.7,7.9,N,N,N
17711,6000,64.9,24.8,6,7,7
17713,35,25.6,6.4,7,6,7
17714,50,12.2,6.1,8,8,6
17715,15,8.8,0,N,N,N
17716,30,30.2,8.2,7,7,8
17717,30,7.3,4.3,5,5,5
17718,40,15.2,5,5,5,5
17719,120,46.6,8.5,7,7,7
1772,6178,121.9,12.4,6,6,6
17720,35,28,4.3,7,6,6
17721,20,15.2,5.6,8,8,8
17722,60,14.3,7.4,6,7,5
17725,20,20.4,3.7,8,5,5
17726,100,15.5,6.9,8,7,7
17727,100,22.3,7.5,7,7,7
17730,30,48.8,8.1,7,8,8
17732,125,18.6,7.4,7,7,5
17733,50,15.2,5.5,7,7,6
17736,35,27.1,8.2,7,7,7
17737,150,14.9,8.1,7,8,7
17738,200,61.9,7.9,7,7,7
1774,9201,119.8,8.9,7,7,7
17740,70,10.1,7.3,6,6,6
17741,50,98.5,8.2,8,8,8
17742,200,21.6,7.3,7,7,7
17743,35,15.8,7.4,7,7,7
17744,20,6.7,4.9,7,6,6
17745,50,29.9,6.2,7,7,7
17748,180,15.8,7.3,7,7,7
17749,15,7.3,5.5,7,7,7
1775,9655,119.8,10,6,6,6
17750,20,14.6,5.9,6,7,7
17752,50,12.2,6.3,7,7,7
17754,50,7.9,6.4,7,7,5
17755,30,31.1,8.2,7,7,7
17756,35,64.3,6.4,4,6,4
17757,100,9.8,3.8,5,5,6
17758,50,44.2,6.3,8,7,8
1776,5570,205.1,12.9,5,6,7
17762,61,24.7,6.9,7,7,7
17764,305,9.4,9.4,4,4,6
17767,100,36.9,6.8,6,7,7
17768,45,17.4,6.9,6,7,7
1777,5551,205.1,12.9,6,6,7
17770,50,7,7.7,5,5,6
17771,25,7,6.1,7,7,7
17772,150,26.5,7.5,8,8,7
17774,10,7.3,5.1,9,9,6
17776,10,15.5,4.9,8,8,7
17777,35,7.6,4.8,6,6,7
17778,15,25.6,5.8,4,4,3
1778,31509,83.8,23.5,6,6,6
17781,15,6.7,8.2,6,6,7
17783,305,7,8.1,6,3,6
17785,194,11.3,8.5,N,N,N
17786,50,8.8,7.9,7,7,7
17787,50,18.6,6.3,8,8,8
17789,30,9.1,6,7,7,6
1779,2717,97.5,8.7,3,7,6
17790,100,15.2,7.3,7,6,7
17792,40,7.9,7.1,8,7,6
17795,40,12.2,7.3,7,7,6
17796,25,9.8,6.2,7,7,7
17797,75,9.1,0,N,N,N
17798,50,11.3,6.1,6,6,5
17799,300,29.9,6.6,6,7,7
1780,916,41.1,8.8,7,6,6
17800,100,29.9,6.9,7,5,5
17801,150,12.8,5.9,7,7,8
17803,20,9.8,5.5,8,8,8
17805,50,8.5,6.6,8,8,8
17806,5,8.8,5,5,4,5
17807,50,14.6,6.8,7,7,7
17809,55,30.5,4.7,6,7,7
1781,916,38.1,8.7,3,6,7
17810,20,14.6,6.1,7,7,7
17812,40,18.3,4.9,8,7,8
17814,100,45.7,5.5,6,6,8
17816,35,32.6,7.5,8,8,8
17817,500,7,0,N,N,N
17818,500,7.9,0,N,N,N
17819,50,21.3,7.9,8,8,8
1782,354,92.7,11.2,7,7,7
17821,1600,8.5,0,N,N,N
17822,450,12.6,0,N,N,N
17824,100,13.7,7.3,N,N,N
17826,15,11,5.5,7,7,7
17828,55,9.1,4.8,4,5,5
17829,30,10.7,6.4,6,6,5
1783,236,55.5,9.4,7,8,7
17830,10,24.7,5.1,5,5,7
17831,35,21.6,6.2,8,6,7
17832,50,18.6,6.8,8,7,8
17834,45,16.2,5.5,7,6,6
17837,60,13.7,5.2,5,6,4
17838,35,18.9,4.9,7,6,6
17839,25,31.7,7.8,7,6,7
1784,24505,8.1,0,N,N,N
17840,150,9.8,6.8,7,7,6
17842,50,6.7,7.9,7,7,6
17843,35,7.3,4,7,6,5
17844,1975,44.5,8,8,7,6
17845,100,40.5,6.5,6,7,6
17847,25,11,3.4,6,6,4
17848,250,7.3,5.5,6,5,5
1785,24505,7.4,0,N,N,N
17850,15,89,6.1,5,6,6
17852,100,16.2,8.1,8,7,8
17853,15,9.8,6.1,7,6,5
17854,90,15.8,6.9,7,7,7
17856,15,15.2,4.9,7,8,8
17857,20,28,6.8,6,6,6
17859,5,12.2,3.9,7,5,9
1786,16617,54.6,25.2,7,7,7
17861,40,27.7,6.9,6,7,7
17862,35,45.4,3.7,7,4,7
17863,65,24.4,7.5,7,7,6
17864,35,11.9,7.7,7,6,7
17865,100,22.6,7.3,7,7,7
17867,125,77.4,7.9,6,8,8
17868,50,7.9,0,N,N,N
1787,1626,10.1,0,N,N,N
17870,20,9.8,5.4,7,7,7
17871,50,34.1,6.7,6,8,6
17872,100,23.2,7.3,7,7,8
17873,150,13.1,8.1,7,7,6
17878,50,76.8,6.9,7,7,7
17879,184,39.3,8,8,6,7
1788,1524,56.4,9.4,6,6,8
17880,100,31.1,3.7,7,3,3
17881,35,29.6,6.9,5,5,6
17883,35,15.2,7.3,7,7,8
17886,35,11.6,4.9,7,6,3
17887,5,7.9,4.4,5,6,6
17888,35,8.8,6.9,6,6,7
1789,977,62.5,9.4,5,8,7
17891,35,24.4,4.8,8,7,6
17893,20,10.7,4.3,5,6,7
17894,50,12.3,6.9,9,9,6
17895,200,12.8,4,5,5,5
17898,35,8.5,6.9,7,6,6
17899,50,6.7,6.5,5,5,4
1790,8146,66.4,12.4,5,7,7
17900,20,30.8,6.9,8,6,6
17902,100,33.5,7.9,7,7,5
17903,30,12.2,6.8,7,7,5
17904,35,30.5,7.6,8,8,7
17907,140,83.2,10.8,8,8,8
1791,5886,62.5,12.4,6,7,7
17910,50,31.4,9.2,7,7,6
17911,30,10.4,7.2,7,6,7
17912,100,22.9,6.7,6,7,7
17915,100,18.3,6.7,6,7,7
17916,220,14.9,5,7,6,5
17918,15,23.8,5.1,8,6,7
1792,5886,53.9,14.3,5,6,7
17921,50,54.9,8.1,8,9,9
17922,30,6.7,0,N,N,N
17924,30,7.6,6.1,N,N,N
17925,30,21,6.5,8,7,5
17926,100,11,7,8,8,8
17929,29,8.2,0,N,N,N
1793,6792,46.3,14.3,6,6,6
17930,300,24.4,7.7,5,5,6
17931,361,10.1,7.6,6,5,6
17932,109,74.4,7.5,8,8,8
17933,15,11,4.9,7,7,6
17936,80,13.1,5.2,5,6,5
17937,25,6.7,5.5,6,6,4
17938,100,11.9,4.9,5,5,5
17939,30,29.9,6.4,7,5,7
1794,176,78.3,8.7,6,7,6
17940,15,67.7,7.9,8,8,7
17941,20,12.5,7.3,7,7,6
17942,40,38.7,7.5,8,8,7
17944,25,12.5,5,6,5,5
17945,90,9.4,9.1,N,N,N
17946,45,7.6,7,7,7,7
17947,100,7,5.5,6,6,6
17948,20,13.4,6.1,6,7,5
1795,216,75.6,8.8,7,8,7
17950,30,12.5,5.9,7,7,7
17951,25,11.3,5.6,6,7,6
17952,139,15.5,6.3,5,4,6
17953,15,13.7,6.2,7,8,7
17954,25,34.4,8.1,7,8,6
17955,50,12.2,4.5,7,7,6
17956,110,19.2,6.3,6,7,7
17957,10,7.6,5,7,7,7
17958,45,55.8,8.1,8,8,8
17959,100,23.5,8,7,8,7
1796,1868,87.2,11.2,7,8,7
17962,35,21.3,6.1,7,7,7
17963,35,20.1,6.2,7,7,6
17964,15,9.8,5.5,7,6,7
17965,20,29,3.7,6,4,5
17966,30,15.2,3.7,5,5,5
17967,5,7,4.9,5,6,5
17968,30,7.6,0,N,N,N
17969,20,12.5,7.3,7,7,6
1797,35814,62.8,16.5,7,7,7
17970,50,21.9,8.1,7,7,7
17971,30,24.4,5.5,7,7,7
17972,20,12.8,4,6,6,4
17973,50,22.3,8,7,7,8
17975,75,18.9,6.1,7,7,7
17976,30,14.3,6.4,7,7,7
17977,75,8.2,6.3,7,7,6
1798,34023,62.8,16.5,7,7,7
17980,15,7.3,4.7,8,6,6
17981,30,8.2,8,6,7,7
17984,100,7.3,6.1,8,6,7
17985,30,12.8,6.4,6,7,7
17986,100,16.8,8.1,7,8,8
17987,180,32.3,8.2,6,5,8
17988,50,9.8,4.7,6,6,6
1799,1754,78.6,22.2,5,5,6
17990,300,9.1,6.5,6,6,5
17991,400,13.1,9.1,6,6,6
17992,50,15.2,5.9,7,7,6
17994,40,32.3,7.3,8,7,8
17996,35,9.4,8.2,6,6,6
18,336,61.3,8.4,9,6,7
180,10538,46.6,19.4,5,6,5
1800,14069,101.8,22.2,5,4,5
18000,35,7,4.9,6,6,6
18001,15,7,4.7,7,6,5
18003,25,20.4,7.2,6,6,5
18004,35,8.5,5.6,6,6,5
18006,400,7.3,7.6,8,6,6
18007,20,8.2,8,6,6,6
1801,15122,76.2,22.2,5,4,6
18011,35,15.2,6.3,7,7,7
18013,25,9.4,5,8,6,6
18014,25,6.7,5.5,5,5,4
18015,1666,12.2,6.7,6,4,4
18016,15,7.3,4.4,6,6,6
18018,100,6.7,7.9,5,4,4
1802,10351,83.2,13,7,6,6
18022,35,7,9,N,N,N
18023,5,10.4,4.9,6,6,4
18025,100,40.5,7.9,8,8,7
18026,100,9.1,6.9,7,7,7
18028,20,46.3,8.1,8,8,8
1803,15679,76.8,25.2,6,6,6
18030,50,14.9,6.3,8,7,6
18031,100,8.8,5.7,7,7,6
18033,35,63.4,8.1,9,7,8
18034,25,18,7.5,7,7,7
18037,50,11,4.4,5,5,3
18038,50,24.7,4.2,6,4,4
18039,256,12.2,7.9,N,N,N
1804,35110,39.3,12.9,7,7,7
18042,402,17.4,8,N,N,N
18044,5,7.3,3.7,7,6,3
18046,15,6.7,7.3,7,7,7
18048,90,10.1,9.8,N,N,N
1805,176,143.3,8.7,6,7,7
18050,20,41.1,5.1,7,5,6
18051,50,17.7,6.7,8,7,8
18052,35,57,8.1,7,7,7
18053,15,9.1,6.1,5,6,6
18054,15,7.3,3.7,7,5,4
18055,15,21.3,5.4,6,7,7
18056,10,12.2,3.7,6,6,6
18057,15,12.8,4.9,5,6,6
18058,100,15.8,8.1,8,8,8
18059,431,7.3,7.9,N,N,N
1806,3610,145.7,10.1,7,6,6
18061,20,22.9,6.2,6,6,6
18062,10,10.1,4.6,5,6,5
18063,30,25.3,4.3,6,6,6
18064,431,7.3,7.9,N,N,N
18065,100,24.7,7.3,6,8,4
18066,838,16.2,8.2,7,7,7
18067,5,24.1,4.9,7,6,6
18068,200,14,0,N,N,N
1807,95,8.8,10.4,N,N,N
18070,35,8.8,6.7,6,6,6
18071,20,18.6,6.7,9,9,7
18072,15,13.4,5.2,8,7,5
18073,20,12.2,6.3,8,8,7
18074,60,11,5.8,8,7,6
18075,20,9.4,7,7,7,6
18076,50,21.3,4.9,7,8,8
18077,20,22.9,4.9,8,8,8
18078,35,14,6.9,7,7,8
18079,55,15.5,6.2,7,7,7
1808,30108,221.9,22.8,9,8,7
18081,75,7,9.1,N,N,N
18082,50,18.9,6.6,6,6,5
18083,35,15.2,6.2,8,8,8
18084,30,45.1,4.3,6,6,6
18085,20,9.1,5.4,9,7,7
18086,35,12.2,7.3,8,8,7
18087,20,8.2,0,N,N,N
18088,75,21,4.5,4,4,5
1809,1760,46.6,10.6,6,7,6
18090,50,9.4,4.3,8,8,5
18091,25,7.3,4.1,7,6,5
18092,350,10.7,6.3,6,6,6
18093,75,27.4,8.1,7,7,7
18094,75,15.2,4.9,7,7,8
18095,35,9.4,5.5,7,7,7
18096,15,10.1,4.9,7,7,4
18097,25,10.4,5,7,7,6
18098,100,14.3,7.8,6,6,7
181,13641,139.3,11.6,4,5,6
1810,4572,11.9,0,N,N,N
18103,15,18.3,7.3,8,7,8
18104,60,20.4,4.9,5,4,3
18106,100,52.7,5.6,6,7,7
18107,60,28.3,6.9,7,7,5
18109,487,7.6,8.2,7,7,7
1811,4032,91.1,11.3,6,7,7
18110,487,11,8,N,N,N
18111,50,14.9,5.6,7,6,6
18112,100,29.9,6.2,8,7,6
18113,5,7.9,4.1,7,7,7
18115,1500,15.8,13.6,6,6,7
18118,1480,28.7,11.5,6,6,6
18119,210,9.1,0,N,N,N
1812,2608,59.4,13,7,7,8
18120,510,10.7,8.5,6,6,6
18121,3500,82.9,12.2,6,7,6
18122,3600,82.9,12.2,6,7,6
18123,600,32.3,11.6,6,6,8
18124,35,7,7.9,N,N,N
18125,50,44.2,8,7,7,8
18127,100,50,6.6,7,7,7
18129,300,23.5,6.1,6,6,5
1813,3734,38.4,12.4,7,7,7
18130,20,11,6.2,7,7,6
18131,45,8.5,6.6,7,7,4
18133,35,12.5,6.2,7,7,7
18135,25,14.3,7.8,6,6,6
18137,5,19.8,3.7,5,6,4
18138,25,9.8,4.5,5,5,3
18139,40,13.1,6.2,6,6,5
1814,3545,38.4,12.4,7,7,7
18140,50,7,6,5,5,5
18141,100,53.6,5.6,5,5,6
18142,50,21.3,7.1,7,7,7
18143,35,7.6,5.6,5,6,5
18144,35,7,7.9,7,7,7
18146,50,7.6,6.1,8,8,6
18147,20,21.3,5.5,7,7,7
18148,50,43.3,7.3,7,8,8
18149,50,15.5,4.9,8,8,8
1815,318,6.5,10.4,N,N,N
18150,100,80.2,8.1,7,5,7
18151,67,12.2,7.9,N,N,N
18153,35,73.5,8.1,6,6,7
18154,120,49.4,6.9,7,8,7
18155,25,22.6,4.5,7,7,7
18159,50,33.5,7.5,7,7,7
1816,778,15.4,0,N,N,N
18161,45,13.4,7.9,7,7,6
18162,35,14.9,7.5,7,6,7
18163,40,51.5,7.5,7,7,7
18164,60,21.6,7.3,6,7,5
18165,50,11.6,8.5,N,N,N
18166,15,17.7,4.9,8,7,6
18167,15,7.6,4.2,9,7,6
1817,7539,39.3,12.4,5,7,6
18172,100,12.5,7.7,7,7,7
18174,50,19.5,7.4,8,6,8
18175,50,7.3,9.9,N,N,N
18177,35,9.1,4.5,5,6,6
18178,234,18.3,6.1,4,4,5
1818,14942,9.1,0,N,N,N
18180,20,21.3,4.9,5,5,5
18181,25,15.5,5.5,4,7,5
18182,10,16.5,4.2,4,5,4
18183,25,28.3,8.2,8,8,8
18184,70,19.8,4.9,6,6,5
18188,50,23.8,7.5,8,8,8
18189,45,19.2,6.9,7,7,6
1819,1650,190.5,11.2,7,6,6
18190,30,7.6,4.3,6,6,7
18192,25,21.6,5.9,6,6,6
18193,15,13.7,5,6,6,5
18196,15,22.9,5.4,6,6,4
18197,100,18,6.2,7,7,7
18199,35,16.8,4.9,4,4,5
182,27053,9.6,0,N,N,N
1820,1650,43,11.1,6,8,7
18200,30,19.2,3.6,7,7,5
18202,100,9.8,6.8,6,6,6
18205,35,10.7,6.5,6,7,6
18206,177,18.3,8,6,6,6
18208,35,9.4,5.3,5,6,5
18209,40,22.6,4.7,3,3,5
1821,4317,74.7,13,5,6,7
18210,10,18.6,5.5,7,7,5
18211,40,6.7,6.2,6,6,6
18213,10,7.3,5.2,7,7,5
18215,25,12.5,3.7,5,7,7
18218,30,23.8,4.9,7,7,4
18219,100,11,5.5,8,7,7
1822,741,65.2,8.7,6,6,6
18221,55,16.2,6.7,7,7,6
18222,35,7.6,6.1,7,5,5
18223,25,18.3,4,5,7,6
18224,45,7,6.1,5,5,5
18225,50,37.5,4,6,5,7
18227,40,27.4,7.5,8,8,8
18229,25,12.2,4.5,7,5,7
1823,741,31.1,8.7,3,3,6
18230,50,11.9,7,7,7,7
18231,50,7.6,8.1,7,7,6
18232,35,12.2,6.1,8,7,7
18233,50,10.1,7.8,N,6,6
18234,200,28,8.1,8,8,8
18235,30,7.9,6.9,7,7,5
18236,35,10.4,6.3,6,5,2
18238,10,38.7,5.5,6,6,8
18239,35,17.7,6.4,7,7,7
1824,109741,51.5,35.6,6,6,6
18241,35,34.7,4.5,6,6,5
18244,15,9.4,4.9,6,6,6
18245,100,41.8,8,7,8,8
18247,35,11.9,7.5,7,7,7
18249,100,46,8.1,8,7,7
1825,5695,41.1,8.5,6,7,7
18250,30,13.7,6.7,N,N,N
18252,35,24.7,7.4,7,7,7
18257,10,24.4,6.2,8,8,8
18258,200,6.7,7.9,7,7,7
18259,50,10.4,6.7,6,7,6
1826,5624,41.1,8.5,6,6,6
18261,50,64.9,8.1,7,5,8
18262,150,79.9,8.1,7,7,7
18264,35,22.3,7.6,8,8,7
18265,50,9.7,7.9,7,7,7
18266,150,8.8,6.4,7,7,6
18267,70,11.9,5.5,8,8,7
18268,15,9.1,6.2,7,6,6
18269,5,9.1,4.4,5,3,3
1827,104884,58.8,35.6,6,6,7
